Filename,Frequency (Hz)
Wave272.csv,2131.9
Wave083.csv,2135.98
Wave148.csv,5787.58
Wave145.csv,6217.15
Wave336.csv,6304.67
Wave180.csv,9839.54
Wave060.csv,12541.2
Wave206.csv,12804.8
Wave252.csv,14321.1
Wave329.csv,15927.8
Wave127.csv,18230
Wave239.csv,20623.9
Wave059.csv,20637.3
Wave397.csv,22135
Wave027.csv,22542.3
Wave100.csv,27243.3
Wave050.csv,29994.6
Wave091.csv,32751.9
Wave348.csv,39667.9
Wave076.csv,44657.1
Wave364.csv,52491.4
Wave296.csv,52892.7
Wave274.csv,53898.5
Wave153.csv,61205
Wave246.csv,63500.8
Wave231.csv,65584.2
Wave108.csv,69327.6
Wave275.csv,74161.2
Wave132.csv,74730.6
Wave305.csv,75143.7
Wave386.csv,82363
Wave178.csv,95452.4
Wave147.csv,95688.5
Wave033.csv,98408.7
Wave288.csv,102541
Wave212.csv,107486
Wave408.csv,110296
Wave162.csv,112867
Wave403.csv,114116
Wave119.csv,114269
Wave199.csv,114296
Wave016.csv,116586
Wave366.csv,118332
Wave117.csv,119565
Wave146.csv,120624
Wave263.csv,124109
Wave338.csv,128636
Wave092.csv,130472
Wave317.csv,130847
Wave394.csv,132346
Wave038.csv,132544
Wave294.csv,133654
Wave234.csv,134240
Wave014.csv,136253
Wave051.csv,139403
Wave095.csv,139927
Wave000.csv,140575
Wave046.csv,141949
Wave399.csv,142329
Wave359.csv,144705
Wave299.csv,144732
Wave245.csv,147501
Wave109.csv,149392
Wave266.csv,150188
Wave001.csv,152532
Wave280.csv,155015
Wave200.csv,155159
Wave395.csv,156057
Wave273.csv,156096
Wave173.csv,156894
Wave160.csv,157909
Wave098.csv,158322
Wave128.csv,158433
Wave133.csv,161568
Wave093.csv,161950
Wave172.csv,169312
Wave256.csv,170446
Wave270.csv,172385
Wave190.csv,172526
Wave028.csv,177010
Wave267.csv,178855
Wave062.csv,178961
Wave183.csv,188346
Wave163.csv,193044
Wave282.csv,195990
Wave058.csv,202228
Wave135.csv,202854
Wave300.csv,204209
Wave017.csv,204376
Wave201.csv,207502
Wave249.csv,207971
Wave254.csv,214036
Wave184.csv,214754
Wave154.csv,215067
Wave124.csv,215416
Wave125.csv,215803
Wave112.csv,218252
Wave018.csv,221208
Wave073.csv,226002
Wave367.csv,227975
Wave188.csv,229231
Wave340.csv,233603
Wave342.csv,234836
Wave022.csv,235515
Wave309.csv,235893
Wave268.csv,235967
Wave298.csv,236240
Wave106.csv,238270
Wave159.csv,243103
Wave368.csv,243425
